Criterios propuestos por orden de prioridad de arreglo;;;VO;VR;Inc %
LA 6;Layout de la página;"Se utiliza correctamente la jerarquía visual para expresar las relaciones del tipo ""parte de"" entre los elementos de la página";;;
LA 2;Layout de la página;Se ha evitado la sobrecarga informativa;;;
LA 1;Layout de la página;Se aprovechan las zonas de alta jerarquía informativa de la página para contenidos de mayor relevancia;;;
RO 6;Rotulado;URLs de páginas internas permanentes;;;
RO 5;Rotulado;URLs de páginas internas claras;;;
RO 4;Rotulado;URL página principal correcta, clara y fácil de recordar;;;
RO 3;Rotulado;Título de las páginas, correcto y planificado;;;
RO 2;Rotulado;Sistema de rotulado controlado y preciso;;;
RO 1;Rotulado;Rótulos significativos;;;
EN 14;Estructura y Navegación;Existe mapa del sitio para acceder directamente a los contenidos sin navegar;;;
EN 13;Estructura y Navegación;Existen elementos de navegación que orienten al usuario acerca de dónde está y cómo deshacer su navegación (ej: migas, pestañas coloreadas);;;
EN 12;Estructura y Navegación;Existe un enlace para volver al inicio en cada página;;;
EN 7;Estructura y Navegación;La caracterización de los enlaces indica su estado (visitados, activos,...);;;
EN 6;Estructura y Navegación;Enlaces fácilmente reconocibles como tales;;;
EN 5;Estructura y Navegación;Equilibrio entre profundidad y anchura en el caso de estructura jerárquica;;;
EN 4;Estructura y Navegación;Control del número de elementos y de términos por elemento en los menús de navegación;;;
EN 3;Estructura y Navegación;Organización de elementos acorde con las convenciones;;;
EN 2;Estructura y Navegación;Estructura de organización y navegación adecuadas;;;
II 7;Identidad e Información;Se ofrece información sobre el autor, fuentes y fechas de creación y revisión en artículos, noticias, informes;;;
II 6;Identidad e Información;Se ofrece información sobre la protección de datos de carácter personal o los derechos de autor de los contenidos del sitio web;;;
II 5;Identidad e Información;Existen mecanismos de contacto;;;
II 4;Identidad e Información;Se ofrece información sobre el sitio web, empresa…;;;
II 3;Identidad e Información;Eslogan o tagline adecuado al objetivo del sitio;;;
II 2;Identidad e Información;Identidad del sitio en todas las páginas;;;
II 1;Identidad e Información;Identidad o Logotipo significativo, identificable y suficientemente visible;;;
AG 10;Aspectos Generales;Sitio web actualizado periódicamente;;;
AG 8;Aspectos Generales;Se da soporte a otro/s idioma/s;;;
AG 7;Aspectos Generales;Se utiliza el idioma del usuario;;;
AG 6;Aspectos Generales;Diseño general del sitio web coherente;;;
AG 3;Aspectos Generales;Estructura general del sitio web orientada al usuario;;;
AG 2;Aspectos Generales;Contenidos o servicios ofrecidos precisos y completos;;;
AG 1;Aspectos Generales;Objetivos del sitio web concretos y bien definidos;;;
